x	y	label
8.598590045	-1.609698782	-1
-3.818781091	3.985564745	-1
9.157078768	2.883541368	-1
-5.469222083	-2.095553453	-1
1.085543382	-3.59889523	-1
-3.335367901	-0.886410108	1
4.382763146	4.723197119	-1
7.305825983	-3.409070101	-1
1.978514969	0.090792566	1
-7.376018555	1.709494308	-1
-8.276924955	-2.787102878	-1
6.23035371	4.482406079	-1
2.55958739	1.758934294	1
-1.769768365	-3.598590045	-1
-5.387432478	-3.119449446	-1
-6.837672048	-4.248634297	-1
-9.220557268	2.621997742	-1
-0.945158238	3.333994568	-1
-1.933957945	-3.087405011	-1
-2.128666036	4.98443556	-1
-7.108066042	1.487014374	-1
-0.331125828	3.395641957	-1
8.381298257	-2.286904508	-1
-8.566240425	-3.24488052	-1
-4.250923185	2.271950438	-1
9.249855037	-3.091067232	-1
-1.186254463	-2.910702841	-1
1.711172826	-3.682210761	-1
2.889797662	-1.814477981	1
5.825678274	2.336649678	-1
-0.645466475	0.381633961	1
-3.488570818	0.469527268	1
7.538377026	-4.616992706	-1
9.769280068	-3.429517502	-1
-1.263771477	-4.156163213	-1
-9.921872616	2.656483657	-1
-4.354075747	3.903469955	-1
7.183751946	3.366649373	-1
-3.212683493	-4.407330546	-1
-1.477401044	1.376232185	1
2.093874935	-1.294747765	1
-6.212652974	1.484878079	-1
-4.735557115	-2.564622944	-1
-0.175481429	-4.051789911	-1
-6.815698721	-1.384777367	-1
-0.059511093	-0.900143437	1
5.287942137	-2.112338633	-1
4.032410657	-1.29505295	-1
-1.450544755	-4.004486221	-1
7.421185949	-3.956572161	-1
-0.49897763	1.696371349	1
9.279152806	-2.32535783	-1
5.596179083	4.949339274	-1
-1.410870693	0.442365795	1
7.084261605	-1.820276498	-1
9.246192816	-1.185186316	-1
-0.384838404	0.871150853	1
8.557084872	1.310312204	-1
-0.259712516	-0.305337687	1
7.699514756	1.856593524	-1
2.681661428	-0.838496048	1
0.992156743	3.6629841	-1
6.789452803	2.546006653	-1
5.71520127	-1.171758171	-1
-5.533310953	-4.090243233	-1
-1.82103946	-2.286294137	1
7.482222968	-4.350566118	-1
-2.770165105	-0.686513871	1
8.091982788	-1.635029145	-1
5.962401196	-1.286507767	-1
-1.331522568	-2.736442152	1
-1.463362529	1.513565477	1
4.140446181	-1.997283853	-1
4.198431349	-1.003906369	-1
5.946531571	-4.905087436	-1
7.348551897	3.170415357	-1
-4.032410657	4.004486221	-1
3.340250862	-1.201666311	1
-3.597827082	0.101168859	1
-2.941068758	1.417126988	1
9.41892758	-0.044709616	-1
-2.220221564	-2.594531083	-1
1.090426344	-0.706656087	1
1.823480941	-4.383831294	-1
-9.916379284	1.582842494	-1
-3.426923429	1.196478164	1
5.353862117	-2.143467513	-1
-1.91625721	2.24753563	1
1.224707785	-1.661885434	1
2.17261269	0.142979217	1
-4.875331889	-4.100009156	-1
-1.833857234	-4.088717307	-1
5.483870968	-3.360240486	-1
-2.208014161	-0.670339061	1
-2.667622913	0.146336253	1
1.570177313	-4.493392743	-1
-6.48976104	-2.409894101	-1
-5.967284158	-2.943662832	-1
2.52723777	-4.122592853	-1
-0.416577654	-0.354167302	1
-7.374797815	-3.023926511	-1
-4.611041597	-3.915982543	-1
7.864314707	-0.555589465	-1
-1.163670766	0.374004334	1
-1.351054415	0.368816187	1
-2.740256966	-0.41215247	1
8.559526353	-3.341624195	-1
-0.569170202	-0.753349406	1
4.020203253	1.131473739	-1
-5.901974548	-1.619464705	-1
-4.050111393	-2.628406629	-1
-6.736960967	4.838557085	-1
5.324564348	4.152195807	-1
9.316385388	0.966978973	-1
-9.719229713	1.561784722	-1
-1.833246864	-4.264809107	-1
3.371379742	3.109988708	-1
7.571337016	2.994323557	-1
6.339609973	-2.765434736	-1
-6.501358074	-1.918546098	-1
-1.07760857	4.089938047	-1
0.061952574	-2.34275338	1
0.069887387	-4.545884579	-1
-7.19656972	1.736960967	-1
-2.781151769	3.357799005	-1
3.456221198	3.626056703	-1
-5.710318308	2.814874722	-1
-0.839564196	4.110995819	-1
4.419995727	2.106540117	-1
3.079012421	2.0516068	-1
-8.369090854	-3.333689383	-1
-1.137424848	-4.263588366	-1
9.077730644	-4.010589923	-1
0.976897488	-0.778679769	1
-7.16605121	3.407544176	-1
-0.964079714	-3.358409375	-1
-8.221991638	2.250892666	-1
-0.499588	-3.58394116	-1
8.51802118	-4.844355602	-1
4.827112644	-2.412335582	-1
-3.924375134	2.264625996	-1
1.008636738	3.541825617	-1
2.549211097	-4.888912626	-1
1.791131321	-4.769585253	-1
3.831598865	2.298806726	-1
-5.660878323	-1.912442396	-1
-4.855800043	-3.078554643	-1
-0.905484176	-4.729300821	-1
8.10113834	0.3132725	-1
8.658406323	-4.015472884	-1
3.81633961	-1.633808405	-1
-0.831629383	2.657399213	1
6.678365429	1.604815821	-1
5.316629536	-4.083223975	-1
-9.697866756	4.667958617	-1
9.429303873	2.899716178	-1
9.436017945	1.114078188	-1
8.342234565	3.654438917	-1
-8.409375286	1.744590594	-1
1.692861721	3.559831538	-1
2.571184423	-4.797051912	-1
4.188055055	-2.034211249	-1
3.177282022	4.718314158	-1
-5.083468123	-0.019989624	-1
2.900784326	0.719779046	1
-8.637043367	4.680471206	-1
-7.332682272	1.987212745	-1
6.875515	4.313638722	-1
5.309915464	4.159215064	-1
-9.427472762	0.450910978	-1
-8.137760552	0.179296243	-1
-9.583117161	1.917020173	-1
-3.504440443	-1.265449995	1
-4.01043733	2.790765099	-1
5.442365795	0.295266579	-1
-0.087588122	4.168370617	-1
-1.872310556	2.172154912	1
-1.716666158	-2.060151982	1
4.376049074	0.356303598	-1
3.517868587	1.774193548	-1
-7.462080752	3.039796136	-1
0.034485916	3.129520554	-1
2.183599353	4.868160039	-1
6.893826106	-2.372356334	-1
-5.913571581	-1.575212867	-1
